YEAR,MONTH,DAY,Estaciones,DATE,"Barometro Reducido a o y al nivel del Mar","Cambio en 24 horas","Temperatura a las 7 a.m.","Cambio en 24 horas","Temperatura Maxima","Temperatura Minima","Humedad relativa","Viento Direction","Viento Fuerza","Nebulosidad Forma","Nebulosidad Grado",Fenomenos,,,,,,,,,,,
1903,4,20,"SAN LUIS - Capital",1903/04/20,770.3,,8,0,22,4,86,S,1,,1,,,,,,,,,,,,
1903,4,21,"SAN LUIS - Capital",1903/04/21,763.8,-6.5,11,3,22,5,75,,0,,0,,,,,,,,,,,,
1903,4,22,"SAN LUIS - Capital",1903/04/22,757.7,,11,0,23,7,87,N,1,C,1,,,,,,,,,,,,
1903,4,23,"SAN LUIS - Capital",1903/04/23,,,13,2,24,11,77,,0,,0,,,,,,,,,,,,
1903,4,24,"SAN LUIS - Capital",1903/04/24,756.1,-3.9,15,2,29,11,89,N,1,,0,,,,,,,,,,,,
1903,4,25,"SAN LUIS - Capital",1903/04/25,,,12,-3,26,11,88,E,2,K,3,,,,,,,,,,,,
1903,4,26,"SAN LUIS - Capital",1903/04/26,,,8,-4,16,5,72,,,N,3,,,,,,,,,,,,
1903,4,27,"SAN LUIS - Capital",1903/04/27,,,4,-4,15,2,83,,,N,3,,,,,,,,,,,,
1903,4,28,"SAN LUIS - Capital",1903/04/28,773.8,,7,3,8,4,71,E,1,N,3,,,,,,,,,,,,
1903,4,29,"SAN LUIS - Capital",1903/04/29,771,-2.8,4,-3,12,2,83,,,N,3,,,,,,,,,,,,
1903,4,30,"SAN LUIS - Capital",1903/04/30,768.9,-2.1,5,1,5,1,84,NW,1,,0,,,,,,,,,,,,
1903,5,1,"SAN LUIS - Capital",1903/05/01,,,9,4,14,4,73,,,S,1,,,,,,,,,,,,
1903,5,2,"SAN LUIS - Capital",1903/05/02,765.6,,14,5,21,10,57,NE,1,N,3,,,,,,,,,,,,
1903,5,3,"SAN LUIS - Capital",1903/05/03,767.4,1.8,8,-6,20,7,72,NW,1,,0,,,,,,,,,,,,
1903,5,4,"SAN LUIS - Capital",1903/05/04,765.5,-1.9,14,6,22,8,57,NW,1,,0,,,,,,,,,,,,
1903,5,5,"SAN LUIS - Capital",1903/05/05,760.7,-4.8,17,3,23,8,,NE,1,,0,,,,,,,,,,,,
1903,5,6,"SAN LUIS - Capital",1903/05/06,765.1,4.4,,0,28,,,NE,1,,0,,,,,,,,,,,,
1903,5,7,"SAN LUIS - Capital",1903/05/07,763.9,-1.2,,,24,14,,NE,1,C,2,,,,,,,,,,,,
